	question	answer	id
0	What is necessary to prevent heart damages?	timely access to cardiovascular health services	2
1	What did the present study examine?	inequality in geographical distribution of cardiovascular health services in iran	2
2	How many provinces are in iran?	31	2
3	What was used to assess equality in access to cardiovascular health services in iran?	gini coefficients	2
4	What was used to calculate gini coefficients?	ms excel software	2
5	What were the gini coefficients of ccu beds and cardiologists per 100,000 population?	0.129 and 0.045	2
6	What did descriptive statistics show in distribution of pubic cardiovascular health services in iran?	skewness	2
7	What does not mean they are sufficiently available in iran?	equal distribution of ccu beds and cardiovascular specialists	2
0	To determine differences in the ability of what strains to withstand antituberculosis drug treatment?	mycobacterium tuberculosis	3
1	What is the association between beijing and m. tuberculosis strains?	multidrug - resistant tuberculosis	3
0	What is frequently associated with muscle - related symptoms?	backgroundstatin	5
1	What has coenzyme q10 supplementation yielded conflicting results in?	decreasing statin myopathy	5
2	What does coenzyme q10 reduce?	statin	5
3	What did the control group receive?	placebo	5
4	What was the pss score in the q10 group reduced from?	3.90.4 to 2.90.4	5
5	What is the pain interference score?	pis	5
6	What group did pss and pis not change?	placebo	5
7	In what percentage of patients did coenzyme q10 supplementation decrease statin related muscle symptoms?	75%	5
8	What were the relative values of pss and pis in the q10 group compared to the placebo group?	33.1% and 40.3%	5
9	What is the recommended dose of coenzyme q10?	50 mg twice daily	5
0	What is pca?	bone metastatic prostate cancer	8
1	The patient derived xenograft model was established to model the disease with greater what?	fidelity	8
2	What makes it difficult to manipulate pdx tumor cells for subsequent controlled mechanistic studies?	poorly adherent pdx tumor cells exhibit low viability in standard culture	8
3	What was used to encapsulate pdx tumor cells?	hydrogel	8
4	What is a chemotherapeutic drug?	docetaxel	8
5	What is a diagnostic platform for rapid drug evaluation?	3d pdx pca model	8
0	Why do organisms often use multiple procedures?	to perform tasks	9
1	What is not always easy to explain about behavioural repertoires of ants?	breadth	9
2	When do colonies of temnothorax albipennis ants use a range of behaviours to organise their emig	house hunting	9
3	What do temnothorax albipennis ants use to recruit nave ants to potential nest sites?	tandem running	9
4	What do temnothorax albipennis ants initially use?	forward tandem runs	9
5	What do temnothorax albipennis ants use in the opposite direction?	reverse tandem runs	9
6	What is used to teach active ants the route between the nests?	tandem runs	9
7	When a quorum of decision makers at the new nest is reached, what do ants switch to?	carrying nestmates	9
8	How much faster do ants switch to carrying nestmates when a quorum of decision makers at the new nest is reached?	three times faster	9
9	What does having more ftrs early mean?	faster emigrations	9
10	What do ants use that are both slow and late?	rtrs	9
11	Who would use more ftrs to have enough knowledgeable ants to do all the carrying?	ants	9
12	What is presented in this study?	the first testable theoretical explanation for the role of rtrs	9
13	What strategy did we set out to find the theoretically fastest for a set of emigration conditions?	emigration	9
14	When can rtrs have a positive effect on emigration speed?	if ftrs are limited	9
15	What gives the fastest emigration?	low quorums together with lots of reverse tandem running	9
0	What does takayasu's arteritis mainly involve?	medium to large sized arteries	11
1	What is the prevalence of pulmonary artery involvement?	10% to 50%	11
2	What is the cause of takayasu's arteritis?	right main pulmonary artery total occlusion	11
0	What sensitizes mammary tumor cells to amino acid deprivation?	depletion of p62	14
1	What does p62 abolish in vitro?	cellular transformation	14
2	What kind of role does p62 play in her2-associated mammary tumorigenesis?	multifaceted	14
0	What is fms?	fibromyalgia syndrome	15
1	What visual pain scale was used to determine the severity of fibromyalgia syndrome?	vps	15
2	What did bas stand for?	beck anxiety	15
3	What was obtained from all participants?	electrocardiograms	15
4	What was estimated to determine the risk of the atrial arrhythmia?	p - wave dispersions	15
5	What was the pd of the patient group?	p=0.034	15
6	What was detected in patients with fms compared to the control group?	increased pd	15
7	What does af stand for?	increased risk of atrial fibrilation	15
8	What is important to follow up patients in later ages for af risk?	fibromyalgia	15
0	What is an important component of the multiple organ dysfunction syndrome?	gastrointestinal dysfunction	16
1	Along with intolerance of enteral feeding and the development of what, reintam and colleagues attempted to quantify gastrointestinal dysfunction?	intra - abdominal hypertension	16
2	What did reintam and colleagues combine with the development of intra - abdominal hypertension and the development of intra - abdominal hypertension?	intolerance of enteral feeding	16
3	What did reintam and colleagues fail to develop a novel descriptor of?	gastrointestinal dysfunction	16
4	What is reintam's work a welcome contribution to the complex process of describing?	morbidity of critical illness	16
0	What is commonly treated with epidural injections of local anesthetics and corticosteroids?	lumbar spinal stenosis	18
1	What does the majority of patients report over repeated treatment?	no substantial symptom change	18
2	How many patients complained persistent symptoms despite repeated steroid injections?	three	18
3	What may have potential in the nonsurgical treatment of spinal stenosis by modifying the underlying pathophysiology?	transforaminal decompression	18
0	What is erm?	recurrent epiretinal membrane	20
1	What age was the female who showed a spontaneous improvement in visual acuity?	65-year - old	20
2	What was the visual acuity of a 65-year-old female after a recurrence of erm?	0.2	20
3	What was the visual acuity after surgical removal?	0.8	20
4	What is a characteristic andulating internal limiting membrane?	ilm	20
5	What is rare but there is a possibility of recurrence even after spontaneous erm resolution?	spontaneous erm resolution	20
0	What type of alopecia is presented?	frontal fibrosing alopecia with nail involvement	23
1	What does nail involvement provide evidence for?	lichen planus	23
2	What is an inflammatory reaction on the background of androgenetic alopecia?	oral dutasteride	23
0	What is squamous cell carcinoma of the renal pelvis?	rare neoplasm	25
1	How many cases of primary renal squamous cell carcinoma were treated at our hospital over a short span of one year?	four	25
2	What was the mean age of the patients?	60 years	25
3	What did all of the patients suffer from?	staghorn stones	25
4	What was unsuspected clinically in all patients?	renal carcinoma	25
5	What did a computerised tomography scan show in one case?	suspicious nodule	25
6	What did all of the patients underwent for nonfunctioning kidney?	nephrectomy	25
7	How many cases of renal squamous cell carcinoma were diagnosed on gross examination?	two	25
8	What is needed during treatment for long standing nephrolithiasis?	pelvicalyceal biopsy	25
0	Patients switched from nph insulin to a course of insulin glargine followed by what?	insulin detemir	27
1	How long were daily glycemic profiles recorded?	72 hours	27
2	There was no significant difference between the two insulin analogs in terms of what?	hypoglycemia	27
0	What is another name for sperm immobilization factor?	sif	29
1	What was sperm immobilization factor isolated from?	staphylococcus aureus	29
2	What concentration of sperm immobilization factor inhibited the mg++ atpase activity of spermatozoa?	100 g ml1	29
3	What induced acrosome reaction was reduced in sperm samples treated with sif?	calcium ionophore	29
4	What was used to label sif with spermatozoa?	fluorescent microscopy	29
5	What method was used to purify the sif binding receptor?	gel permeation chromatography	29
6	What is maldi - tof?	matrix - assisted laser desorption ionization - time of flight	29
7	What is the binding of the receptor to ligand?	enthalpically	29
0	Which skin types accumulate senescent cells during aging?	human and mouse skin	30
1	What are senescent cells thought to enhance when chronically present?	deterioration of the skin	30
2	What promotes optimal wound healing when transiently present?	senescent cells	30
3	What is the senescence - associated secretory phenotype?	sasp	30
0	What is uae?	uterine artery embolization	31
1	What was used to treat symptomatic uterine fibroids?	selective bilateral uae	31
2	What was the success rate of bilateral uae?	96.8%	31
3	What were analyzed after the procedure?	complications and outcomes	31
4	How long did it take for patients to return to normal activity after embolization?	two weeks	31
5	What did most patients experience after the procedure?	crampy pelvic pain	31
6	How many participants had persisting amenorrhea after procedure?	five	31
7	How many patients reported any new gynecologic or medical problem during the follow up period?	none	31
8	How many deaths and injuries were there during the study?	no deaths and no major permanent injuries	31
9	What was the reduction in mean uterine volume?	61%	31
10	When did uterine artery embolization show significant improvement in bleeding?	follow - up	31
11	What is a successful, minimal invasive treatment of uterine fibroids?	uterine artery embolization	31
0	What has been widely authorized and clinically applied to cancer patients?	antibody mediated therapeutic strategies	32
1	What does dc stand for?	dendritic cells	32
2	mice were immunized with dcs and followed by repeated booster immunization with what?	plasmids	32
3	Who produced significant amounts of antibodies against these proteins?	immunized mice	32
4	What is an effective method to produce antibodies reactive to extracellular regions of plasma membrane proteins with multiple - transmembrane domains?	dc immunization	32
0	What are heritable ectopic mineralization disorders characterized by?	deposition of calcium phosphate complexes in soft connective tissues	33
1	What is the prototype of heritable ectopic mineralization disorders?	pseudoxanthoma elasticum	33
2	What serves as a powerful inhibitor of mineralization?	ppi	33
3	When were the latest meetings held in bethesda?	september 2014	33
4	What does this report have for pxe and related ectopic mineralization disorders?	pharmacologic implications	33
0	What is a major glycoprotein that is secreted from numerous types of cancer cells?	procathepsin d	34
1	What does procathepsin d affect?	multiple stages of tumorigenesis	34
2	What is the mitogenic effect of procathepsin d on cancer cells mediated through?	propeptide or activation peptide	34
3	Recent studies have implicated the use of what as a marker of cancer progression?	procathepsin d / activation peptide	34
4	How many major potentials of procathepsin d are there?	three	34
0	How was rb-1 isolated into pure culture from japanese rice field soil?	anaerobic role tube technique	35
1	What type of fungus is rb-1?	mitosporic fungus	35
2	What was the amount of acetate produced in both aerobic and anaerobic cultures?	higher	35
3	What type of genus is thermomyces?	thermophilic or mesophilic anamorphic ascomycete	35
4	What was rb-1 characterized as a member of the class lecanoromycetes of the phylum ascomycot	phylogenetic analysis	35
5	What is rb-1 currently designated as?	anamorphic ascomycete	35
0	What does deferasirox represent in lower risk myelodysplastic syndromes?	iron chelator	36
1	What is responsible for the hematologic improvement?	reduction in oxidative stress	36
2	What are necessary to better define mechanisms of action, assess toxicities and predicting factors of response?	biological and clinical studies	36
0	What is an uncommon high - grade neoplasm of immature b cells?	b - cell lymphoblastic lymphoma	37
1	What are two extranodal involvements in b - lbl?	skin and bone	37
2	What is a very rare manifestation of b - lbl in elderly adults?	primary cutaneous involvement	37
3	How old was the man who had b - lbl presenting as a single cutaneous lesion?	78-year	37
4	What is another name for prednisolone?	chop	37
5	What was the total dose of radiotherapy given to the patient?	3,600 cgy	37
6	How long did it take for the patient to maintain cr?	21-month follow	37
0	What is rare?	mucoepidermoid carcinoma of the pancreas	38
1	How old was the woman presented with mucoepidermoid carcinoma of the pancreas?	63	38
2	Where was the mucoepidermoid carcinoma located?	left upper abdomen	38
3	How many types of cells did the tumor consist of?	three types	38
4	What types of cells were present in the patient's mucoepidermoid carcinoma?	epidermoid cells and intermediate undifferentiated cells	38
5	How long did the patient survive after surgery?	12 months	38
0	What could potentially constitute a major public health concern?	harmful effects of medication and licit substance use during pregnancy	40
1	What was administered to women after delivery?	standardized questionnaire	40
2	What was checked to confirm information given by mothers?	medical files	40
3	What do our findings have implications for in lebanon?	clinical obstetric practice and prevention programs	40
4	What should be done to reduce the exposure of pregnant women to drugs and licit substances during pregnancy?	decrease exposure to harmful substances during pregnancy	40
0	What is renal cell carcinoma an uncommon source of?	bladder metastases	42
1	What is an uncommon source of bladder metastases?	renal cell carcinoma	42
2	Where did renal cell carcinoma metastasize to?	bladder	42
3	Who complained of gross hematuria?	73-year - old woman	42
4	What showed a bladder mass and a heterogenous enhancing mass in the lower pole of the left kidney with left vein thrombosis	abdominopelvic computerized tomography	42
5	What did the pathological analysis of the resected bladder specimen reveal?	metastatic renal cell carcinoma of the clear cell type	42
0	What uses several species of animal as reservoirs?	hepatitis e virus	43
1	Which animal is considered as the major reservoir for hev infection in humans?	swine	43
2	What is the dominant cause of hepatitis e disease in humans in china?	genotype 4 hev	43
3	What is rt - pcr?	reverse transcription polymerase chain reaction	43
4	What was sequenced and phylogenetically analyzed?	positive pcr products	43
5	51 hev strains in the current study all belonged to what genotype?	genotype 4	43
6	What did the results show about hev isolates in humans and swine populations?	some of hev isolates prevalent in the human and swine populations were classified into the same clusters	43
0	Are chimpanzees synaesthetic?	synaesthetic	44
1	When was a study by ludwig, adachi, and matzuzawa published?	2011	44
2	What is the claim that chimpanzees are?	synaesthetic	44
