Text	Index
 had just had the flu vaccine source certain link	A526
"500 testimonies of vaccine damage ... ""the hidden damage"" #vaccines #stragedistato link"	A455
 you start getting the vaccine .. barbara #noneladurso ... I don't.	A969
" dear ignorant parents, you have no more excuses! save your children from this carnage, the information is there and this is the proof! #lorenzin & amp; co have sold our. children at #bigpharma to test #vaccines, guinea pigs nothing but laboratory guinea pigs. link"	A560
it was September 28, 2017 and the honorable ivan catalano presented to the minister of health lorenzin a question about the hexavalent vaccine hinfanrix extra and the cot death ... of course the lady never answered ???? link	A802
unfortunately, after the Conte Gates phone call in the Mantua and Pavia hospitals where immunoglobulin therapy has saved several patients, the Nas intervened, it seems almost a threat to alternative treatments if not the Gates vaccine. here cat hatched us	A283
after the understandable pain, I hope that the relatives of the dead of covid 19 will come forward to report a possible link between the vaccine (anti meningitis or flu) and the consequent death of their relatives from covid 19. it would be of vital importance to save many other lives	A775
" #vaccine for #pasqualino. ""he got the vaccine and now he's sick"" no problem guys, no problem ..... link"	A436
my grandmother was a doctor and not even x 1 cabbage, she would have undergone the flu shot! + she was growing old, and + she was contrary. link	A1087
does the booster against three bacterial infections. dies from a bacterial infection after getting the vaccine. the fault of the bacterial infection that came out of nowhere. how to die stabbed, the fault of the knife, of course ???? link	A805
 how do you fight vaccine polio? but logical, with a new vaccine never tested! #lascienza #sciencesays #invaccineswetrust link	A584
 ???? # midariva if you say no to vitamin k and refuse a vaccine a few hours before giving birth, sooner or later, they make you pay for it. after one year: forced tso to pregnant wife which causes abortion and other atrocities. they are tearing this family apart. #dictatorship #demons link	A6
 this is the leaflet of a #vaccine called tetravac, the one you had your children inject. you know that all the ingredients in these vaccines cause cancer, leukemia, encephalopathy, behavioral disorders, etc. read them for god! link	A1202
user in bergamo and brescia there was a mass vaccination between October and November ... this explains the high mortality	A103
 we are waiting for some supercazzola of users to explain the failure of the link vaccine	A1218
 Trump: `the coronavirus will disappear by itself, no vaccine needed` link	A1292
 post vaccine: learning disabilities, epilepsy. the doctors knew but said nothing to the mother. it's up to you to judge. #vaccines link	A1167
they were thinking of putting the digital id (brand under the skin) together with vaccines as early as September 20, 2020. accidentally came the virus (patented by bill gates), and the vaccine (created by bill gates), imposed by the WHO (financed by bill gates) ). all normal, right?	A1145
hurry up.???? weak next epidemic. I'm sure, have the pieces set up on the chessboard?: uncontrolled African immigration, Ebola media epidemics in Africa stopped with vaccine, vaccine ready in millions of doses, Europe at the center of the epidemic. ???? link	A812
 invitation to vaccination? but vaccinate you, your children, friends, acquaintances and relatives by the fourth grade! link	A978
user but of course, how can you trust a vaccine created in 3 months, when a serious trial foresees from 5 to 10 years.	A271
 link another lap, another race ... two and a half year old girl dies in her sleep! they call it cot death ... I instead murder caused by hexavalent vaccine ...	A858
#testimonials Hello everyone I am the mother of diego, a 3 and a half year old boy suffering from autism since on 10 October 2017 at the age of 20 months I had the #vaccine #mpr (measles mumps rubella) done from there it all started after 2 months on December 24, 2017 the	A424
 user_sx_veg user user_cocco user user user user have you seen this? Indian children who got flaccid paralysis from polio vaccine? ignorant dangerous link link	A99
 global vaccine safety summit: the statements of experts who question the safety and efficacy of vaccines (sub ita) #invaccineswetrust #lascienza #scienceissettled link	A830
 damage from vaccine the concealed data links of the user	A752
 # On Tuesday, the prisoners are paid to try the vaccine and also to get infected. freedom is worth more	A394
" coronavirus vaccine, military and policemen: & amp; laquo; we do not want to be laboratory guinea pigs & amp; raquo; link"	A1320
 user user at the forefront of what? to spend billions to be given to pharmaceutical companies for a vaccine vje will it not be of any use? instead of throwing money away on nothing, distribute them to needy Italians	A251
you have understood? they don't collect data because they already know, the #vaccine can cause #autism. they rely on those who prostitute themselves to the pseudo #scienzah link	A523
 #coronaviriusitalia given the useless storm (the data and virologists continue to say that it is less than an influence) to which the government has settled, all that remains is to think of fraud. to sell vaccine in the future. otherwise it is not explained	A359
" meanwhile gsk and ""a special unit of the US army in kenya"" are ""carrying out tens of thousands of tests on children and babies in some of the poorest villages on the African continent"" to test the #vaccine #antimalaria. link"	A973
2,300,000,000 obese people 3,000,000 deaths from alcohol a year 700,000 deaths from infections by resistant bacteria but a thought for the #morbillus and #vaccine is always there. How many doses do pharmaceutical companies still have to dispose of? link	A452
not only do those damaged by #vaccine exist, but the state is reluctant to pay and is also condemned for moral damage! link	A1121
argentina, 2012 #gsk is convicted of extorting parental consent during the clinical trials of some minors for a #vaccine against malaria. fourteen children died during the experiment.	A510
 but wonderful! as soon as the WHO announces the pandemic, which allows vaccination without testing, the fastest vaccine in the west is ready! ready to get pierced, Italian mice? ???? link	A1049
#ucrania, due to a lack of measles vaccine, coverage drops to 31% without recording any particular spikes in the disease. after a vaccination campaign that brings coverage above 90%, the worst #morbill epidemic is recorded. link	A426
 vaccine victims exist and as long as only one mother has to try this, don't shut up! #vaccines user link	A870
#vaccine death. art. 5 oviedo convention - an intervention in the field of health cannot be carried out until after the person concerned has given free and informed consent. use your inalienable rights. link	A1093
user user user 03 .... vaccinating many people, this is useless indeed the vaccine leads to many deaths, I had acquaintances who died for the vaccine! so ... (04)	A194
 the veil is falling ... #vaccini #vogliamogiustiziaeliberta link	A1256
 damaged by vaccine .......... !!!!!!!!!!!!!!!!!!!!!!!!!! compensation to those injured by vaccine, now the state will pay more	A751
 user user user user user user she posted a video of fazio to explain us. who knows why it omits, as it does burioni, the high mutability of coronaviruses that makes vaccination almost useless. there are already dozens of stocks. I leave out laughable claims about drugs and plasma	A181
 user user i no-vax, for them, are the enemy to be killed. the no-vax, in reality, are the new resisters, the partisans of today and tomorrow.	A109
 user does not look good on the dear old bill! we will see some good with this vaccine of shame! appointment in court!	A154
 wrong the vaccine will not protect us it will make us take the covid but in a milder form instead the cure we have it definitely goes to heal us and first then what survey was not successful	A1224
 user user user the vaccine is useless. so it can be said that if one thing is useless, it is used for something else?	A260
 worse than being raped ???? link	A1143
 user I am not no vax but I will not get the vaccine	A147
the flu vaccine contains 25,000 times more mercury than is legally permitted in drinking water! link link	A939
the # polio vaccine, containing the # sv40 virus, contaminated 98 million people in the US alone, and was administered until 1999. the virus also spreads to subsequent generations. sv40 virus causes cancer, leukemia, criminal etc link	A901
 up your head !: false pandemic: bilderberg vaccine link	A1271
 glaxo-hitachi vaccine nanochips and disquieting Renzian scheming by valdo vaccaro ciao valdo. gianni lannes explains how the vaccine multinationals are putting the ... links	A1096
2 coincidence there is no longer a newspaper that in the headlines can make the slightest hint between #vaccino and some kind of damage. link	A451
 user have terrified you! vaccinated for life and for what? injecting drugs to the vs. children without any criteria. they instilled in us the idea of the #vaccine as a panacea for all ills but it is and remains a drug with risks and dangers .. you only ask to be able to choose.	A199
 I will never get the vaccine	A979
 user user user can take away my pension, civil rights, and who knows what else, but I won't get vaccinated, despite everything in this vale of tears I want to stay a little longer. then if they force me, those who do will no longer need a vaccine.	A132
 Researchers accelerated the coronavirus vaccine by first ignoring key animal tests a link study	A889
" the shares of the bill & amp; melinda gates and other multinationals engaged in the ""vaccine"" research took off, while the rest collapsed."	A1027
I reflected: what are the big names that are above governments, that are capable of threatening any country with very heavy repercussions, including chaos ?: well, guess who is at number 1? #vaccines link	A1217
"user on the other hand, all the google censorship on vaccines has disappeared ... try to search for ""vaccine damage"" and you will be amazed. try it now before it returns as before !! ps in my opinion soon, with the excuse that we use it too much, the network is closed."	A142
 user user_chigi this situation is really ridiculous, to fight an evil we have to know who has it, no to inject a useless vaccine at all fucking dog sorry, it doesn't take a lot to think like this, all those who have suffered a bereavement open their eyes, it is the fault of the scientific committee	A249
 but wonderful! a vaccine to remedy vaccine damage, which my father bought at the market! all shut up? mass, cazzocene, so much from us these things do not happen! #cavie #vaccines #experimentation #vaccinederivedpolio link	A1050
 coronavirus, edward luttwak: contagion is the only way out, the virus will not be stopped by padre pio or the vaccine link di @	A641
user his deputy suggested it to him! How much will they pocket from pharmaceutical companies!? Two years of experimentation are needed to test whether a vaccine is valid or not! do they start doing it in September?	A341
 we actually missed a beautiful vaccine-induced Ebola epidemic in Europe. it will serve to feel closer, more supportive, more pei. link	A764
#vaccines are not associated with multiple sclerosis and do not cause relapses. false! multiple sclerosis can be caused by #fective vaccine. here the sentence: European Court of Justice - sect. ii - case c-621-15, 21-6-2017 link	A866
40-year study: finds that a first measles vaccine in guinea-bissau did not protect against measles, but reduced infant mortality. in 1989 #oms decides to change vaccine, this protects against measles, but increases mortality link	A1268
 using the vaccine for an rna virus is useless, as that influence no more bullshit.	A225
the genomic sequences of the vaccines used are composed of entire sequences of the human genome, coming from abortions. abnormal, misshapen genes. 560 of these, linked to the onset of cancer (in the audio comments to listen to) link	A1034
 cristian, another child who regressed to autism immediately after the vaccine. link	A743
 family doctors study for years for what? the salary for sure. nurofen for small children? no doubt about the adverse reaction from #vaccine? rather than treating them they contribute to making them chronically ill	A876
 gardasil, the human papilloma virus (hpv) vaccine, is destroying girls' ovaries and systems reproductive.link link	A821
 users are afraid of losing the vaccine business	A324
 we predict an Ebola alarm across the planet. we must hurry. if you don't pay the license you get the virus. link	A1177
user well we wait for the vaccine to exist and read the contraindications. probably the percentage of people who would decline the invitation would rise.	A205
 in france, a petition against the infamous #gardasil vaccine, which the minister of health buzyn wants to compulsorily extend to all adolescents, males and females.	A960
 user user the vaccine you do it you and your tycoon	A301
 user user user user informed .. that the cure is there and the vaccine is not needed ... it will be like that of the flu that changes every year .... the plasma costs nothing .. and with bill gates and his experimental vaccines you .. forget the Italians .. who knows where you are next year	A253
 user user do this on purpose because when the baby is in the womb you cannot immediately see how he is after the vaccine. here we are dealing with filthy criminals at the level of the worst in history. link	A312
do you remember how all our media pushed for the flu to help fight # coronavid19? ???????????????????????? in England doctors alarm is triggered, those who have received the flu vaccine are more at risk of contracting # covid_19 link link	A1215
 one cannot offer offspring to moloch. enough vaccines. stuff from more or less aware satanists. Christ did not use vaccines and even less would he have used them with traces of aborted fetuses, hamster ovaries, heavy metals etc ... how can you believe they are good things? link	A1119
 sad short story. mother of child convinced that the flu vaccine is essential every year. laboriously manages to make an appointment for her and her son about a month ago. today the mother caught the flu. eh okay, it will be for next year.	A551
link understood? in the province of brescia opens an outpatient clinic to get vaccinated against meningococcus c. in addition to antibiotic prophylaxis against the bacterium, the vaccine will be offered to the population between 11 and 50 years old! beyond...	A856
" virologist giulio tarro: ""the coronavirus virus is activated by the flu vaccine"" user link"	A1362
 how much wisdom in these words. but to those who do not understand that the #vaccine racket must be stopped in time, because sooner or later it will all affect us, do we have to provide a sketch? user link	A1189
the #coronavirus is a global #pandemic, this means that if they find the vaccine they will force 7.5 billion people to get vaccinated? it would be the deal never seen on the planet, maybe I put too much imagination into it, but if it were me I don't vaccinate	A898
damn it, at least one doubt, one must come to you! I too grew up thinking about the #vaccine miracle, I too never asked myself any questions or had doubts before the #lorenzin law, but now I am firmly convinced of how much they took the piss out of us. link	A1166
user user if you fight for the true catholic church against the lutheran masonic imposture of bergoglio in accordance with the masonic plan of the false covid-19 pandemic, as a pretext to code yourself with the fake vaccine you will win because christ will be with you! link link	A105
 do we stop with this vaccine story? by the way stops gates, thanks link	A1019
 if they are sure, why ask for immunity? ask yourself a #question s from an epidemic they only have to gain and nothing to lose, what will happen? link	A1237
"one year later, samuel's grandmother writes: after the second autopsy, requested by me because otherwise everything would have ended with death in a cot, they found that my beloved grandson was missing because of that damned vaccine "". more is needed: just silence"	A462
user user end I'm fucking. the mandatory vaccine is patently against the constitution. in fact, that for students under 16 was not compulsory. but without it no school.	A155
 user user user who is that idiot who would make a vaccine funded by those who have expressly declared that their goal is to reduce the world population?	A157
"#hope ""until a vaccine is discovered, we need the utmost caution"" we do not have a minister of health, but a PR of the multinational drug companies. # covid19 link"	A423
 no fucking need the vaccine	A1117
#viruscinese float on the stock exchange, on Tuesday 21 January the shares of the companies interested in the #vaccine. coincidences do not exist. cc user link	A440
 codacons denounces lorenzin: he has hidden documents revealing the damage caused by the vaccine. link	A580
 if you want to continue to be fooled while endangering the life or health of your children go ahead. take a seat! not me, thanks! link	A1239
user user_semenov user user_vitruviano user_g user__bru user user_data24 user user_arnese user user user user eh well ... that's right! a vaccine ready and produced for the end of the year? but what do they want to inject? but these are all crazy.	A222
 read well ebola false flag the vaccine is ready, it has not passed any clinical trial approved in a hurry. they will cause a fake epidemic. stay on the bell! link	A1037
user user user I'm sorry for you but unfortunately it seems that this is not the case but instead the measles vaccine does not guarantee immunity and above all is causing the development of a different type of virus link	A329
 But shouldn't the money for the vaccine have been put in bill gates? ah, no, he's not stupid. it does not finance research, but production! so, even if the vaccine will be useless because the virus is too changeable enough to affect the same person, he certainly knows what will be inside.	A1055
 life destroyed by a vaccine! #vaxxed's latroupecinematografica continues to interview people who have been harmed by #vaccines across the country. were recently in iowa and interviewed sydney weggen's family. link	A1024
 to death! perfect children condemned, healthy and innocent, discriminated against for life, persecuted like the Sioux, hunted by greedy and chained dogs. may the worms eat you alive! link	A465
no this beautiful. Arianna 5 years, they give her 2 #vaccines together. the girl has seizures and passes out shortly after the vaccine. what doctors tell the mother? lady, you have transmitted tension to the child. oh but these are medical graduates !!! link	A1108
" ""the registration operation which resembles a hi-tech version branding is carried out at the same time as the vaccination."" ???? user link"	A32
 when the ship sinks the rats flee, first together with his friend bill gates he played the devil in promoting mass vaccinations, yesterday in the senate he takes ten steps back admitting the danger of the vaccine. link	A1183
